Path,Type,Functions,Role,isOZ
./Data/Reaper_Farm.sol,PotentiallyVulnerable,depositAll,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,deposit,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,mint,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,withdraw,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,redeemAll,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,redeem,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,addStrategy,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,updateStrategyAllocBPS,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,revokeStrategy,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,setWithdrawalQueue,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,report,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,updateWithdrawMaxLoss,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,updateTvlCap,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,removeTvlCap,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,setEmergencyShutdown,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,inCaseTokensGetStuck,Public/external function without role checks,True
./Data/Reaper_Farm.sol,PotentiallyVulnerable,setLockedProfitDegradation,Public/external function without role checks,True
./Data/Reaper_Farm.sol,Require,addStrategy,"!emergencyShutdown, ""Cannot add a strategy during emergency shutdown"""
./Data/Reaper_Farm.sol,Require,addStrategy,strategy != address(0
./Data/Reaper_Farm.sol,Require,addStrategy,"strategies[strategy].activation == 0, ""Strategy must not be added already"""
./Data/Reaper_Farm.sol,Require,addStrategy,address(this
./Data/Reaper_Farm.sol,Require,addStrategy,asset == IStrategy(strategy
./Data/Reaper_Farm.sol,Require,addStrategy,"allocBPS + totalAllocBPS <= PERCENT_DIVISOR, ""Total allocation points are over 100%"""
./Data/Reaper_Farm.sol,Require,updateStrategyAllocBPS,"strategies[strategy].activation != 0, ""Strategy must be active"""
